160
80
80
8 -1 -8 -10 -1 -10 -1 2 -7 8 -8 8 10 -7 -4 -5 -1 5 -2 -9 8 -4 10 3 -4 9 -0 -4 -10 -4 -7 9 8 -5 -10 -1 -2 -0 -10 1 -0 -7 1 -0 -2 8 7 10 4 -3 -7 4 6 -7 -3 -8 -6 9 -1 -4 -5 2 -3 -6 10 -2 4 -2 -10 7 -9 2 -9 3 -6 -0 2 -9 2 -4 
94 25 42 -137 78 139 -133 41 7 197 39 19 45 -153 -6 -66 127 -97 -48 200 -171 132 95 -65 -84 -28 129 150 27 -68 93 -152 85 -139 -161 -111 -200 -93 131 -66 -97 -103 81 149 -128 -198 -190 200 -94 -37 127 -137 -105 21 -74 -62 121 -145 -112 -125 -86 109 -76 127 171 -109 -184 98 -1 75 -168 103 100 114 -21 173 117 -10 100 151 
-1 5 -10 -6 -10 -0 -3 -4 -1 8 3 6 2 -10 -10 2 -0 7 -8 3 3 -7 -5 5 7 1 -3 -1 3 -9 8 -9 7 -10 -2 7 -0 8 -7 -9 6 9 10 -2 -9 -8 -8 4 9 -6 -4 4 -2 4 -1 -3 -5 9 8 10 -10 6 -9 7 8 2 6 -2 -0 -9 2 -3 -10 1 6 -8 4 10 8 3 
154 26 -186 176 175 -59 -86 96 -76 -70 99 39 167 151 -35 137 -158 -91 35 42 184 68 -129 84 -91 51 -17 -174 168 -190 178 122 -36 120 25 -61 189 140 163 -87 198 62 79 164 13 172 28 -17 -119 -137 -176 193 59 -104 3 96 75 187 50 43 125 -45 -109 -112 -125 117 28 -136 -17 -83 -95 -92 180 185 200 -81 157 28 103 -163 
0 0 0 15 -1 12 11 4 0 -1 0 0 0 11 0 0 0 0 3 0 1 0 5 5 8 0 15 2 10 17 19 0 6 0 0 0 0 0 0 0 6 9 14 0 4 1 3 0 1 7 0 20 -1 10 19 20 17 9 1 18 3 6 0 12 17 0 0 0 19 3 3 0 0 0 -1 15 6 1 0 0 
19 0 0 12 14 13 0 0 2 0 0 4 0 11 19 5 0 2 0 0 0 0 19 15 0 0 0 0 -1 0 -1 0 4 16 0 0 1 -1 4 3 20 0 0 14 19 9 0 16 0 14 -1 0 0 0 0 14 1 0 3 -1 0 -1 0 3 0 0 0 0 7 15 0 8 0 10 11 0 1 17 0 8 
1 12 17 0 16 7 0 0 18 7 5 0 0 18 3 0 2 12 0 0 0 17 7 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 5 11 15 0 0 1 0 0 0 0 0 0 1 -1 0 16 1 0 15 14 17 0 0 6 0 18 8 0 0 
0 0 16 0 0 20 0 0 18 0 8 16 19 20 0 0 0 13 19 0 0 0 0 11 0 0 0 20 1 0 5 5 0 0 9 0 0 8 0 14 0 16 0 14 0 0 11 0 0 5 0 13 4 4 0 20 0 0 0 18 0 0 0 0 0 0 6 19 17 11 6 0 0 0 11 2 0 0 17 0 
4 17 0 0 0 0 8 0 4 2 0 5 0 14 16 15 7 -1 19 8 0 5 0 -1 0 0 5 12 0 0 16 5 0 9 2 0 0 0 12 0 0 0 0 0 0 0 0 4 0 16 0 8 4 0 0 0 0 0 13 8 19 0 6 0 0 0 0 0 0 7 0 0 1 0 0 2 19 0 20 0 
0 16 20 0 0 16 1 0 14 2 0 5 0 0 0 0 0 20 0 17 12 3 4 12 4 5 12 19 3 14 0 0 20 0 13 4 5 20 0 7 0 0 14 5 0 0 2 11 0 0 13 9 0 0 20 15 1 13 0 20 0 0 0 0 14 0 13 0 0 9 1 0 0 0 19 0 0 0 1 -1 
0 0 5 0 0 0 0 10 0 19 0 12 10 8 0 -1 13 0 13 0 18 0 8 0 0 16 11 0 18 0 0 0 0 19 0 0 0 0 0 16 0 0 18 7 0 17 0 19 0 0 0 0 0 0 0 0 16 17 11 0 2 0 16 0 11 17 5 9 0 0 0 7 0 0 4 0 11 0 0 0 
