160
80
80
4 -9 -1 -9 -5 3 -3 7 5 10 -1 -3 -4 7 -5 4 -2 -5 6 6 -0 2 9 -8 8 -6 -6 4 4 -6 -6 -2 -4 3 2 1 -4 10 -0 -10 -10 9 -0 -1 6 8 -7 -4 -5 -9 -9 6 3 -8 -10 3 -1 -4 -2 -7 1 3 4 9 -2 -4 -0 6 -5 -8 7 -4 -9 -1 8 9 -1 -9 -5 4 
9 106 -168 13 -75 73 -160 -19 143 -34 25 82 71 101 -110 -112 -62 54 35 -139 100 -103 -89 75 71 -145 140 65 17 116 -121 154 -51 -161 -106 75 40 -66 184 -90 28 8 193 -174 -164 -190 -86 -26 64 77 36 -36 175 74 167 -28 130 33 -163 -126 -51 -83 -172 99 -116 -78 -99 125 57 -116 -166 -188 20 155 -162 57 165 -47 -169 -44 
-7 -1 2 9 1 4 3 -8 -10 -9 -5 2 7 10 1 -6 -3 -7 -10 3 -5 10 -9 -1 1 10 -2 -10 -7 3 7 -1 -8 -2 -3 6 -6 -8 8 -5 -4 -5 8 -7 -3 -0 -2 5 6 -1 -0 -9 1 4 -0 -8 6 -10 -6 -9 4 -9 -0 8 2 10 6 7 -8 6 -6 -1 -7 -7 5 -0 6 -8 -3 2 
-170 -6 48 133 196 15 -95 126 -152 -131 128 -75 -86 157 152 -2 -121 -148 -77 64 -63 -115 3 158 -161 42 15 -196 123 -27 -112 81 168 137 14 164 -48 46 17 -73 116 -55 53 -170 -98 4 -44 -92 57 79 100 122 92 -170 80 132 73 -105 64 -4 -4 153 -196 -36 17 18 -145 96 192 73 -177 35 146 4 -7 -153 136 149 -117 -80 
19 0 0 8 14 0 0 5 2 0 14 4 0 5 0 0 9 0 0 0 10 -1 0 0 0 0 0 0 0 8 12 0 -1 0 14 0 1 0 13 4 0 7 0 17 9 9 9 0 9 0 0 0 0 0 0 0 0 15 13 0 0 0 -1 0 14 9 13 0 12 8 0 0 0 1 13 14 0 0 0 16 
3 3 0 0 0 8 20 12 19 0 2 0 0 0 6 0 0 0 0 0 0 0 6 1 0 0 9 12 9 0 -1 11 3 8 18 0 0 0 0 15 5 0 0 0 0 0 0 0 11 0 0 13 -1 0 0 0 14 12 0 0 9 0 17 0 9 0 20 12 19 0 0 2 11 0 9 5 0 16 11 0 
8 17 2 6 4 5 19 0 0 16 0 0 0 0 0 0 0 0 0 12 1 0 12 0 0 0 15 0 0 0 5 12 0 0 0 0 0 12 0 1 0 16 0 0 10 0 0 0 0 10 1 13 0 8 0 20 15 0 0 10 0 0 0 6 0 0 -1 0 3 0 3 0 13 0 0 0 0 0 0 0 
0 -1 -1 16 0 10 20 2 13 0 0 0 4 0 0 17 0 -1 0 18 0 0 0 0 0 10 0 3 1 -1 0 20 0 0 0 6 15 6 0 6 10 17 0 3 0 0 18 0 13 12 10 2 13 0 0 9 1 12 0 0 0 0 17 0 9 0 2 19 0 0 16 0 0 0 0 0 17 0 11 14 
9 0 0 14 0 12 0 15 0 -1 0 0 8 5 0 19 4 0 4 16 11 0 14 19 -1 0 0 6 10 9 18 0 0 6 10 0 0 19 17 5 0 8 9 0 0 10 0 0 0 13 0 -1 0 0 0 10 6 4 0 12 0 0 2 0 1 6 0 14 13 0 0 0 0 0 15 0 0 15 0 12 
0 4 0 0 0 11 5 0 0 18 0 0 19 10 13 0 10 0 2 9 11 16 0 0 0 0 5 11 0 0 18 0 0 13 10 0 14 0 0 0 7 0 0 0 0 0 15 0 0 0 0 5 17 0 0 7 19 0 0 17 0 19 0 0 0 13 20 0 11 0 0 0 0 8 1 0 1 14 0 9 
