320
160
160
-9 9 6 7 -9 -4 6 -2 2 7 2 -10 10 1 7 -7 6 8 1 -5 -5 2 1 -10 -3 -8 -1 -9 5 -3 2 9 -2 -0 8 -1 8 4 10 2 3 1 3 4 -6 -1 8 -10 -1 1 -2 6 -7 -9 9 1 -4 -3 5 -9 7 -1 -10 -6 9 -10 6 9 5 6 1 -1 -1 -5 -7 4 7 -9 5 -4 5 -6 -6 8 -4 -8 1 2 2 -5 4 -1 5 6 6 6 7 2 5 3 -1 -3 -8 9 3 -4 4 -0 -0 1 9 -5 6 -8 -5 -9 -5 8 6 8 -7 2 -1 -10 -0 -6 6 -4 9 3 -9 -2 -10 -4 -2 6 5 -8 -2 -5 4 -4 3 1 1 10 5 9 8 1 9 -7 -7 -2 -6 3 5 -8 -9 3 
-168 -93 -83 53 -135 -123 197 -129 161 163 191 95 23 -87 -76 -119 -22 -131 -136 -141 9 83 6 -0 -41 -2 53 -147 -65 -134 -89 -33 -26 -44 148 -34 -39 72 38 -79 35 28 -184 185 142 -132 -134 -153 -135 -70 -93 2 -187 114 130 -100 -89 -17 -46 47 49 66 142 151 150 16 -83 -90 -112 155 32 50 -90 -24 35 180 -28 29 155 38 87 -138 -160 28 177 98 129 -185 -119 -118 -11 131 76 -69 8 25 75 126 136 90 8 -105 -60 46 72 103 -47 -156 -141 -92 10 146 -29 -22 -26 -126 -124 -98 -110 -42 -88 7 -185 116 65 24 -59 -60 -123 -196 -170 85 -100 -102 -69 100 129 84 145 188 193 -45 61 -110 134 -165 -35 -190 -135 -17 -105 -95 117 -89 -180 -18 63 -111 123 141 
7 -5 -7 8 2 2 5 -3 7 -7 5 2 2 -0 -7 -7 -0 9 -8 -0 2 -9 4 8 1 10 1 -2 -8 5 -9 -9 -10 -6 -10 3 9 6 -10 5 -9 6 -3 3 -5 3 9 8 4 -8 -3 -4 -4 -9 -6 10 -7 7 -3 -5 2 -1 -1 2 6 -0 -5 4 -4 -3 1 -3 -5 -10 -8 1 4 -7 -0 -2 -4 8 5 4 -9 -9 4 -6 9 -9 2 -0 2 -9 -6 -0 1 2 -4 10 10 8 -1 -6 9 2 8 5 7 -0 -7 -5 -2 -10 10 1 -9 5 8 -8 9 -0 3 1 4 10 -8 -3 1 -1 -4 3 -2 6 10 -3 -1 9 -9 -2 -1 -3 4 9 -3 5 -0 -1 -0 -0 4 1 -10 -4 -9 7 -2 -4 -7 -9 
-180 80 26 -79 179 84 148 107 -32 93 22 -112 175 -117 -94 36 -154 -1 46 -89 109 142 17 26 181 -35 -192 44 54 59 -15 75 -61 138 124 -156 22 -1 79 118 -109 -99 134 194 -88 -161 30 -41 -34 -124 -2 -125 146 142 102 54 -93 38 -102 89 -104 10 -109 36 -52 142 81 98 -59 -113 16 -40 -11 -50 -46 102 -83 184 188 83 188 -14 159 60 -72 -13 -86 35 -175 -61 -149 -78 77 -58 85 -175 -189 -34 51 -47 53 -133 113 170 -55 195 -2 62 106 -14 -128 93 173 159 -120 -173 -54 -78 -10 -102 -11 42 -52 -134 185 -167 -181 197 -1 71 -124 180 139 117 77 -190 112 -125 -0 17 -11 73 -163 -112 -41 -155 -84 105 -32 107 131 157 -51 -121 -177 -140 -88 170 185 39 
0 0 0 1 0 4 0 15 0 10 17 0 4 0 0 0 3 0 -1 0 16 0 19 0 0 13 5 16 -1 3 0 6 8 4 0 0 0 0 0 0 0 0 2 0 20 0 0 0 0 17 0 0 19 19 16 0 0 0 17 13 0 1 13 7 16 4 3 0 0 0 17 0 0 13 0 0 13 0 6 5 15 12 0 0 0 2 3 0 -1 0 0 14 0 0 0 0 0 20 0 12 12 6 0 8 0 0 10 0 11 8 8 0 0 0 0 0 0 0 7 0 0 12 0 2 10 0 0 -1 15 12 10 0 0 9 0 10 0 0 0 11 0 2 12 0 0 0 0 14 0 14 9 14 19 17 0 2 19 0 8 16 
0 4 6 0 15 15 13 12 2 0 19 0 1 0 8 0 19 14 18 0 13 6 0 0 7 20 11 0 8 0 0 10 0 0 13 9 20 0 0 1 10 2 5 3 0 0 5 0 0 10 4 15 14 0 7 0 0 12 0 0 0 0 12 9 0 -1 11 0 7 1 0 18 0 0 15 0 0 0 20 0 0 3 0 10 4 0 0 7 0 0 14 6 11 15 10 0 0 0 0 5 13 0 0 0 0 13 16 0 3 0 0 14 0 0 14 0 0 15 2 0 0 0 8 0 0 0 5 0 0 0 1 0 0 0 0 4 0 17 0 0 0 20 2 0 14 -1 0 0 6 20 0 13 0 0 0 0 0 6 0 0 
0 15 18 20 0 0 7 4 0 0 0 6 4 0 0 12 -1 0 19 0 10 0 7 0 4 18 5 0 7 0 2 6 0 6 11 11 0 0 0 9 13 0 14 0 0 11 19 0 0 6 19 0 0 0 0 0 13 9 12 15 16 15 0 15 0 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 20 1 7 12 0 0 0 0 0 0 0 0 19 0 16 0 0 3 2 7 0 0 0 10 16 10 9 2 0 0 0 0 0 15 0 3 0 9 0 0 13 0 14 14 8 0 4 0 0 0 0 5 0 20 0 0 0 0 0 0 0 0 0 0 0 16 0 18 17 0 0 
1 14 9 11 0 0 0 6 2 0 0 0 0 0 0 10 11 12 0 0 0 1 8 6 10 2 0 8 0 0 5 4 0 18 13 0 0 0 0 0 0 6 0 16 0 0 12 0 5 0 0 0 0 0 17 0 0 0 0 3 6 0 0 0 0 17 0 0 0 15 17 4 20 0 0 9 0 0 0 0 14 0 18 0 10 18 20 0 9 0 17 0 0 0 0 0 0 0 0 0 0 13 0 14 0 0 0 6 0 0 0 0 0 0 0 16 -1 9 0 0 0 0 0 0 5 18 15 0 19 9 0 10 0 13 0 19 0 0 0 0 0 0 0 0 16 0 4 0 0 0 0 10 14 20 0 0 0 5 13 9 
5 0 11 1 1 3 0 0 0 0 6 0 11 17 -1 0 0 4 13 2 0 0 4 0 0 0 4 0 0 8 2 0 0 15 18 0 3 0 9 0 13 0 0 0 11 4 0 13 0 0 -1 0 0 19 17 0 12 10 0 0 11 0 -1 0 0 0 16 11 0 0 18 0 0 16 0 11 0 0 -1 3 19 0 13 3 0 0 14 0 9 0 0 4 0 0 0 11 0 0 0 0 0 -1 0 14 16 0 0 0 14 7 0 0 0 13 0 0 3 0 2 18 0 0 0 0 0 16 14 0 20 8 0 0 0 17 0 6 8 0 16 7 0 0 0 0 0 0 0 0 -1 0 11 12 0 8 0 0 0 -1 12 0 
0 0 0 0 3 4 2 0 0 16 0 0 0 10 14 0 0 0 0 0 0 12 15 0 4 11 9 0 0 0 0 18 0 2 3 0 0 0 0 0 19 13 2 0 0 13 0 4 0 17 0 17 8 18 11 0 8 4 5 18 0 -1 0 6 17 0 17 0 0 4 14 6 0 -1 0 0 -1 4 16 0 10 0 6 3 2 16 0 0 16 0 0 11 0 3 1 20 9 0 3 0 14 4 0 13 0 1 0 0 0 0 0 6 0 0 11 11 0 18 16 0 0 -1 0 0 0 4 0 0 18 0 16 15 0 0 10 8 0 0 0 14 16 5 0 20 0 17 0 0 9 7 9 -1 17 11 0 10 16 0 10 0 
