n=500, k=1000, numdec=10^-4 
randomized distance=0, randomized thetas=0, isoprob=0 
Exhaustive listing of all NDPs: 
(-1000, 1000),
(-999.6586, 999.6586),
(-999.6586, 996.7895),
(-996.7895, 996.7895),
(-992.5992, 992.5992),
(-992.5992, 989.7301),
(-989.7301, 989.7301),
(-989.1175, 989.1175),
(-989.1175, 986.2484),
(-986.2484, 986.2484),
(-984.2998, 984.2998),
(-984.2998, 981.4307),
(-981.4307, 981.4307),
(-980.182, 980.182),
(-980.182, 977.3129),
(-977.3129, 977.3129),
(-976.9348, 976.9348),
(-976.9348, 974.0657),
(-974.0657, 974.0657),
(-973.8244, 973.8244),
(-973.8244, 970.9553),
(-970.9553, 970.9553),
(-968.6179, 968.6179),
(-968.6179, 965.7488),
(-965.7488, 965.7488),
(-965.7079, 965.7079),
(-965.7079, 962.8388),
(-962.8388, 962.8388),
(-962.1176, 962.1176),
(-962.1176, 959.2485),
(-959.2485, 959.2485),
(-956.6921, 956.6921),
(-956.6921, 953.823),
(-953.823, 953.823),
(-953.0125, 953.0125),
(-953.0125, 950.1434),
(-950.1434, 950.1434),
(-948.7684, 948.7684),
(-948.7684, 945.8993),
(-945.8993, 945.8993),
(-944.9179, 944.9179),
(-944.9179, 942.0488),
(-942.0488, 942.0488),
(-941.4537, 941.4537),
(-941.4537, 938.5846),
(-938.5846, 938.5846),
(-937.7344, 937.7344),
(-937.7344, 934.8653),
(-934.8653, 934.8653),
(-933.4585, 933.4585),
(-933.4585, 930.5894),
(-930.5894, 930.5894),
(-929.6377, 929.6377),
(-929.6377, 926.7686),
(-926.7686, 926.7686),
(-926.2079, 926.2079),
(-926.2079, 923.3388),
(-923.3388, 923.3388),
(-922.8994, 922.8994),
(-922.8994, 920.0303),
(-920.0303, 920.0303),
(-916.4231, 916.4231),
(-916.4231, 913.554),
(-913.554, 913.554),
(-912.4594, 912.4594),
(-912.4594, 909.5903),
(-909.5903, 909.5903),
(-908.7358, 908.7358),
(-908.7358, 905.8667),
(-905.8667, 905.8667),
(-904.9124, 904.9124),
(-904.9124, 902.0433),
(-902.0433, 902.0433),
(-900.6733, 900.6733),
